codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
30000002287,COTESIA,COTESIA,G,G-2 / Insumos ,https://ik.imagekit.io/7ypnvn8as/materiales/30000002287.png, , , ,0,
30000002289,COTESIA,COTESIA,G,G-2 / Insumos ,https://ik.imagekit.io/7ypnvn8as/materiales/30000002289.png, , , ,0,
50000003560,ESTERIKON PLUS  BIOINDICADOR R1102740002,ESTERIKON PLUS  BIOINDICADOR R1102740002,CJ,G-6 / Materiales De Laboratorios Y Metrologia,https://ik.imagekit.io/7ypnvn8as/materiales/50000003560.png,NEVERA,2, , ,
300000000000,ABRAZADERA MANGUER ADMIS/R CB01486903 JD,ABRAZADERA MANGUER ADMIS/R CB01486903 JD,UN,G-1 / Materiales consumibles,https://ik.imagekit.io/7ypnvn8as/materiales/300000000000.png, , , ,0,
300000000001,ABRAZADERA SOPORTE DISCO  CB01429730 JD,ABRAZADERA SOPORTE DISCO  CB01429730 JD,UN,G-1 / Materiales consumibles,https://ik.imagekit.io/7ypnvn8as/materiales/300000000001.png, , , ,0,
300000000002,ADAPTADOR DESCOLLADOR 0251308308 JD,ADAPTADOR DESCOLLADOR 0251308308 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000002.png, , , ,0,
300000000003,AISLANTE CB01421974 JD,AISLANTE CB01421974 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000003.png, , , ,0,
300000000004,ALTERNADOR  87576053 CNH,ALTERNADOR  87576053 CNH,UN,G-13 / Motores Y Reductores ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000004.png, , , ,0,
300000000005,ALTERNADOR 226-7683 CAT,ALTERNADOR 226-7683 CAT,UN,G-13 / Motores Y Reductores ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000005.png, , , ,0,
300000000006,ALTERNADOR 87576051 CNH,ALTERNADOR 87576051 CNH,UN,G-13 / Motores Y Reductores ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000006.png, , , ,0,
300000000007,ALTERNADOR AH229090 JD,ALTERNADOR AH229090 JD,UN,G-13 / Motores Y Reductores ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000007.png, , , ,0,
300000000008,ALTERNADOR AL166646 O 0124515126,ALTERNADOR AL166646 O 0124515126,UN,G-13 / Motores Y Reductores ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000008.png, , ,C203A07*,0,
300000000009,ANILLO 095-7950 CAT,ANILLO 095-7950 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000009.png, , , ,0,
300000000010,ANILLO 6V-4364 CAT,ANILLO 6V-4364 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000010.png, , , ,0,
300000000011,ANILLO 6V-8344 CAT,ANILLO 6V-8344 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000011.png, , , ,0,
300000000012,ANILLO 87016950 TRACTOR CASE,ANILLO 87016950 TRACTOR CASE,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000012.png, , , ,0,
300000000013,ANILLO ELÁSTICO R188348 JD,ANILLO ELÁSTICO R188348 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000013.png, , ,C301A01*,1,
300000000014,ANILLO R39283 JD,ANILLO R39283 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000014.png, , ,C301A02*,4,
300000000015,ANILLO R83474 JD,ANILLO R83474 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000015.png, , ,C301A03*,2,
300000000016,ANILLO RETENEDOR 375-1442 CAT,ANILLO RETENEDOR 375-1442 CAT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000016.png, , , ,0,
300000000017,ANILLO TÓRICO R129726 JD,ANILLO TÓRICO R129726 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000017.png, , ,C301A04*,8,
300000000018,ANILLO TORICO R131817 JD,ANILLO TORICO R131817 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000018.png, , ,C301A05*,5,
300000000019,ANILLO TORICO R132025 JD,ANILLO TORICO R132025 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000019.png, , ,C301A06*,7,
300000000020,RODAMIENTO 6003,RODAMIENTO 6003,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000020.png, , ,C101A01*,45,
300000000021,RODAMIENTO 6201,RODAMIENTO 6201,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000021.png, , ,C101A02*,57,
300000000022,RODAMIENTO 6303,RODAMIENTO 6303,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000022.png, , ,C101A03*,27,
300000000023,RODAMIENTO ESPECIAL B17-102AT1XDDG3,RODAMIENTO ESPECIAL B17-102AT1XDDG3,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000023.png, , ,C101A04*,49,
300000000024,RODAMIENTO ESPECIAL B17 - 99DDW8CG16E NS,RODAMIENTO ESPECIAL B17 - 99DDW8CG16E NS,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000024.png, , ,C101A05*,60,
300000000025,RODAMIENTO ESPECIAL B-17 NSK,RODAMIENTO ESPECIAL B-17 NSK,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000025.png, , , ,0,
300000000026,RODAMIENTO SPROCHET F.40206 SS JD,RODAMIENTO SPROCHET F.40206 SS JD,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000026.png, , , ,0,
300000000027,BANDA TRANSPORTADORA ABONADORA DMB,BANDA TRANSPORTADORA ABONADORA DMB,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000027.png, , ,C103A17*,9,
300000000028,BARRA DIRECCION 84296591 CNH,BARRA DIRECCION 84296591 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000028.png, , , ,0,
300000000029,BARRA VIA COMPLETO 5177449,BARRA VIA COMPLETO 5177449,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000029.png, , ,PATC3P1*,1,
300000000030,SOP RODILLO ALIMENTADOR CB11459302 JD,SOP RODILLO ALIMENTADOR CB11459302 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000030.png, , , ,0,
300000000031,BIBINAS SELENOIDE DE 12 VOLTIOS,BIBINAS SELENOIDE DE 12 VOLTIOS,UN,G-7 / Materiales Electricos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000031.png, , , ,0,
300000000032,BLOQUE CONTROL FLOT 1G138629 SEMB CIVEMA,BLOQUE CONTROL FLOT 1G138629 SEMB CIVEMA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000032.png, , , ,0,
300000000033,BOLA ENGANCHE SERMAG (REF 000010),BOLA ENGANCHE SERMAG (REF 000010),UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000033.png, , , ,0,
300000000034,BOLA PARA TIRO DE TRACTOR CASE,BOLA PARA TIRO DE TRACTOR CASE,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000034.png, , , ,0,
300000000035,BOMBA  AGUA RE505980 JD O RE546906 JD,BOMBA  AGUA RE505980 JD O RE546906 JD,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000035.png, , ,,0,
300000000036,BOMBA AGUA 2856893 CNH,BOMBA AGUA 2856893 CNH,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000036.png, , ,C401B15*,2,
300000000037,BOMBA AL 79013 JD,BOMBA AL 79013 JD,UN,G-12 / Bombas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000037.png, , , ,0,
